Sample,Target,Ct
Control,GAPDH,18.1
Control,GAPDH,18
Control,GAPDH,18.2
Treat_A,GAPDH,18.1
Treat_A,GAPDH,18.2
Treat_A,GAPDH,18
Treat_B,GAPDH,18.3
Treat_B,GAPDH,18.1
Treat_B,GAPDH,18.2
Control,Gene_01,25
Control,Gene_01,25.2
Control,Gene_01,24.9
Treat_A,Gene_01,20.1
Treat_A,Gene_01,20
Treat_A,Gene_01,20.2
Treat_B,Gene_01,24.8
Treat_B,Gene_01,25.1
Treat_B,Gene_01,24.9
Control,Gene_02,26
Control,Gene_02,26.1
Control,Gene_02,25.9
Treat_A,Gene_02,21
Treat_A,Gene_02,21.2
Treat_A,Gene_02,20.9
Treat_B,Gene_02,21.5
Treat_B,Gene_02,21.4
Treat_B,Gene_02,21.6
Control,Gene_03,24.5
Control,Gene_03,24.6
Control,Gene_03,24.4
Treat_A,Gene_03,19.5
Treat_A,Gene_03,19.4
Treat_A,Gene_03,19.6
Treat_B,Gene_03,28.4
Treat_B,Gene_03,28.7
Treat_B,Gene_03,28.5
